PERDI,open,high,low,close,Adj Close,volume,upperband,middleband,lowerband,macd,macdsignal,macdhist,rsi,sma10,sma40
1.62E+12,124.0199966,124.0599976,123.4400024,123.7549973,123.7549973,225517,125.8171213,124.5489948,123.2808683,0.45064831,0.765128078,-0.314479769,50.0121993,124.2049896,123.6858976
1.62E+12,123.7549973,124.0400009,123.5500031,123.9300003,123.9300003,278013,125.8133612,124.5524948,123.2916284,0.39932199,0.69196686,-0.292644871,51.84949001,124.1619896,123.7328976
1.62E+12,123.9499969,124.1699982,123.6500015,124,124,623081,125.7248596,124.4884949,123.2521301,0.360142404,0.625601969,-0.265459565,52.59995054,124.0989998,123.7766476
1.62E+12,124.3199997,124.9300003,123.7699966,124.0999985,124.0999985,357028,125.5329744,124.4104946,123.2880148,0.333319047,0.567145385,-0.233826338,53.70988449,124.0434998,123.8298975
1.62E+12,124.1200027,124.5199966,124.0500031,124.0800018,124.0800018,209340,125.174516,124.3144947,123.4544734,0.306909915,0.515098291,-0.208188376,53.44039835,124.0235001,123.8551476
1.62E+12,124.0749969,124.7099991,123.6299973,124.4199982,124.4199982,385586,124.9738871,124.2659946,123.5581022,0.309843665,0.474047366,-0.1642037,57.35801103,124.0504997,123.9018974
1.62E+12,124.4100037,124.6600037,124.2200012,124.5,124.5,299751,124.7380651,124.2229946,123.7079241,0.314993118,0.442236516,-0.127243398,58.24823132,124.0904999,123.9593725
1.62E+12,124.4899979,124.5999985,123.9599991,123.9800034,123.9800034,190649,124.6846305,124.1914948,123.698359,0.273956711,0.408580555,-0.134623844,50.82157313,124.0584999,124.0213726
1.62E+12,123.9700012,124.2600021,123.9000015,124.1900024,124.1900024,306121,124.6872174,124.1954948,123.7037723,0.25543573,0.37795159,-0.12251586,53.40531215,124.0995003,124.0403727
1.62E+12,124.1949997,124.3199997,124.0299988,124.0999985,124.0999985,407141,124.6782903,124.1864948,123.6946993,0.230834237,0.34852812,-0.117693882,52.14092044,124.1055,124.0571226
1.62E+12,124.3099976,124.3099976,123.0600967,123.8700027,123.8700027,376611,124.6627985,124.1609951,123.6591917,0.190581737,0.316938843,-0.126357106,48.9515399,124.1170006,124.0657476
1.62E+12,123.8000031,124.2699966,123.6549988,123.8000031,123.8000031,251048,124.6495348,124.1329952,123.6164557,0.151288984,0.283808871,-0.132519887,47.98940912,124.1040009,124.0747477
1.62E+12,123.7799988,123.9150009,123.4700012,123.6100006,123.6100006,357599,124.5935992,124.0820004,123.5704015,0.103623083,0.247771714,-0.14414863,45.38205722,124.0650009,124.0889977
1.62E+12,123.6200027,123.6200027,122.9000015,123.2099991,123.2099991,250824,124.5818211,124.0097504,123.4376796,0.033188161,0.204855003,-0.171666842,40.40496047,123.976001,124.0983727
1.62E+12,123.2099991,123.9000015,122.9499969,123.4499969,123.4499969,282107,124.5752378,123.9682503,123.3612627,-0.003228979,0.163238207,-0.166467186,44.34861016,123.9130005,124.1221226
1.62E+12,123.4700012,124.125,123.2699966,123.6999969,123.6999969,352823,124.5574641,123.94575,123.334036,-0.011781109,0.128234344,-0.140015453,48.19437275,123.8410004,124.1627476
1.62E+12,123.6999969,123.9400024,123.2699966,123.5400009,123.5400009,367100,124.5495936,123.9177502,123.2859068,-0.031110454,0.096365384,-0.127475838,46.00333596,123.7450005,124.1839975
1.62E+12,121.7900009,123.3600006,121.3399963,122.9199982,122.9199982,417656,124.5904104,123.8487499,123.1070894,-0.095358902,0.058020527,-0.153379429,38.6672316,123.6389999,124.1844975
1.62E+12,122.9100037,123.1100006,122.1500015,123.1050034,123.1050034,228725,124.6244386,123.8150002,123.0055617,-0.129851045,0.020446213,-0.150297257,41.65701547,123.5305,124.1871225
1.62E+12,123.1399994,123.7099991,122.6100006,123.5299988,123.5299988,184603,124.6011093,123.7895,122.9778908,-0.121492251,-0.00794148,-0.113550771,47.93574676,123.4735001,124.1816225
1.62E+12,123.5049973,123.625,123.0500031,123.4499969,123.4499969,201081,124.5992311,123.77425,122.949269,-0.119940723,-0.030341329,-0.089599395,46.91228828,123.4314995,124.1616224
1.62E+12,123.4899979,123.6299973,122.7300034,122.7600021,122.7600021,167516,124.6473042,123.7157501,122.7841961,-0.172400615,-0.058753186,-0.113647429,39.14875721,123.3274994,124.1341225
1.62E+12,122.8000031,122.8700027,122.0899963,122.8700027,122.8700027,425186,124.6501701,123.6592503,122.6683304,-0.202762012,-0.087554951,-0.115207061,40.8299163,123.2534996,124.0738726
1.62E+12,122.8700027,123.0800018,122.2450027,122.3899994,122.3899994,743037,124.6855187,123.5737503,122.4619819,-0.26252962,-0.122549885,-0.139979735,36.13812352,123.1714996,123.9921225
1.62E+12,122.6999969,123,121.1900024,121.7799988,121.7799988,774741,124.7911838,123.4587502,122.1263165,-0.35502532,-0.169044972,-0.185980348,31.22719134,123.0044998,123.8866224
1.62E+12,121.75,122.0899963,121.0299988,121.6500015,121.6500015,642770,124.7927195,123.3202503,121.8477811,-0.43381774,-0.221999526,-0.211818214,30.28273471,122.7995003,123.7931225
1.62E+12,121.6500015,122.1849976,121.4400024,121.7149963,121.7149963,432430,124.7066506,123.1810001,121.6553497,-0.485421129,-0.274683846,-0.210737283,31.39986358,122.6169998,123.7019974
1.62E+12,121.7149963,122.3600006,121.7050018,122.3199997,122.3199997,241986,124.6213634,123.098,121.5746365,-0.472056894,-0.314158456,-0.157898439,40.8940529,122.557,123.6447474
1.62E+12,122.3399963,122.5049973,121.8499985,122,122,284698,124.4969103,122.9884998,121.4800894,-0.481733816,-0.347673528,-0.134060288,37.90581474,122.4464996,123.5919973
1.62E+12,122.0049973,122.8000031,122,122.4899979,122.4899979,280765,124.3404788,122.9079998,121.4755208,-0.444737456,-0.367086314,-0.077651143,44.58346578,122.3424995,123.5472473
1.62E+12,122.4899979,122.7949982,121.7200012,121.8600006,121.8600006,644836,124.2379421,122.8074997,121.3770573,-0.460939663,-0.385856983,-0.075082679,38.80526541,122.1834999,123.4842474
1.62E+12,121.9700012,122.5800018,121.3949966,122.3799973,122.3799973,312513,124.1023473,122.7364994,121.3706515,-0.426899612,-0.394065509,-0.032834103,45.12684056,122.1454994,123.4347473
1.62E+12,122.3700027,122.5699997,121.7399979,121.8499985,121.8499985,209167,124.0046483,122.6484993,121.2923503,-0.437644208,-0.402781249,-0.034862959,40.53107007,122.043499,123.3652498
1.62E+12,121.8550034,122.3499985,121.8199997,122.0800018,122.0800018,211153,123.9440175,122.5919994,121.2399814,-0.422727095,-0.406770418,-0.015956677,43.23293618,122.0124992,123.3008749
1.62E+12,122.0899963,122.125,121.5800018,121.6399994,121.6399994,218403,123.8539864,122.5014996,121.1490127,-0.441322405,-0.413680815,-0.027641589,39.53265071,121.9984993,123.2348749
1.62E+12,121.6600037,121.6900024,121.1800003,121.5299988,121.5299988,280193,123.6905417,122.3929996,121.0954576,-0.459637042,-0.422872061,-0.036764981,38.64220571,121.986499,123.1693748
1.62E+12,121.5100021,121.9000015,121.3700027,121.4800034,121.4800034,278143,123.5328873,122.2899998,121.0471122,-0.472736327,-0.432844914,-0.039891413,38.22082846,121.9629997,123.103875
1.62E+12,121.4700012,121.7600021,121.3499985,121.7099991,121.7099991,469357,123.461583,122.2294998,120.9974166,-0.459264753,-0.438128882,-0.021135871,41.38729675,121.9019997,123.0391249
1.62E+12,121.8899994,122.5699997,121.0699997,121.9499969,121.9499969,295706,123.3409423,122.1717495,121.0025567,-0.424331186,-0.435369343,0.011038157,44.57939755,121.8969994,122.9933748
1.62E+12,121.9449997,122.0299988,121.1949997,121.75,121.75,505359,123.0837162,122.0827496,121.081783,-0.408080072,-0.429911489,0.021831417,42.50211276,121.8229996,122.9361248
1.62E+12,121.7799988,121.9899979,121.1600037,121.7200012,121.7200012,254690,122.7864709,121.9962498,121.2060286,-0.393090297,-0.42254725,0.029456953,42.18458586,121.8089996,122.8852499
1.62E+12,121.7799988,121.7799988,121.0999985,121.2900009,121.2900009,254345,122.6882132,121.9227497,121.1572862,-0.411168529,-0.420271506,0.009102977,37.82271703,121.7,122.8192499
1.62E+12,121.2850037,121.4400024,120.8099976,121.3899994,121.3899994,213746,122.5130817,121.8487495,121.1844174,-0.412669618,-0.418751129,0.00608151,39.39220005,121.6540001,122.7539999
1.62E+12,121.4100037,121.4499969,120.8099976,121.0800018,121.0800018,394217,122.478793,121.7832497,121.0877063,-0.433872048,-0.421775312,-0.012096736,36.33060923,121.5540001,122.6785
1.62E+12,121.0699997,121.3899994,120.7900009,121.2900009,121.2900009,586576,122.4867857,121.7587498,121.0307138,-0.428787163,-0.423177683,-0.005609481,39.74693938,121.5190002,122.60875
1.62E+12,121.8000031,123.6986008,121.7200012,123.1999969,123.1999969,284884,122.7949387,121.8362495,120.8775604,-0.26755246,-0.392052638,0.124500178,60.50450591,121.6860001,122.5782499
1.62E+12,123.1600037,123.1600037,123.1600037,123.1600037,123.1600037,0,123.0246222,121.9084999,120.7923776,-0.141370291,-0.341916169,0.200545877,60.0381005,121.8540001,122.54475
